string,en,fr,de,ru,es,pt,br,pl,it,ja,ko,no,sv,da,ar
One final step,One final step,Une étape finale,Ein letzter Schritt,Последний шаг,Último paso,Um último passo,Um último passo,Ostatni krok,Ultimo passaggio,最後のステップ,마지막 한 단계,Et siste steg,Ett sista steg,Et sidste trin,
"Yes, charge me","Yes, charge me","Oui, facturez-moi","Ja, bitte abrechne","Да, оплатить","Sí, cobrarme","Sim, faturar","Sim, faturar","tak, proszę obciążyć moje konto","Si, addebita",いいですよ、支払います,"네, 결제합니다","Ja, ta betalt",Ja jag vill betala,"Ja, opkræv penge",
No,No,Non,Nein,Нет,No,Não,Não,Nie,No,結構です,아니오,Nei,Nej,Nej,
Have a question? We have an answer!,Have a question? We have an answer!,Des questions&nbsp;? Nous avons la réponse&nbsp;!,Sie haben eine Frage? Wir haben die Antwort!,Есть вопрос? У нас есть ответ!,Preguntas Frecuentes,Tem uma questão? Nós temos a resposta!,Tem uma questão? Nós temos a resposta!,Masz pytanie? My mamy odpowiedź!,Domande? Qui trovate le risposte!,質問はありますか？我々が答えを持っています！,질문이 있습니까? 저희가 그 답을 가지고 있습니다!,Har du et spørsmål? Vi har svaret!,Har du en fråga? Vi har svaret!,Har du et spørgsmål? Vi har svaret!,
"Watch our ByteFence beginner's guide explaining how to Download, Install and Activate!","Watch our ByteFence beginner's guide explaining how to Download, Install and Activate!","Regardez notre guide de démarrage de ByteFence expliquant le téléchargement, l'installation et l'activation&nbsp;!","Schauen Sie sich unsere ""ByteFence für Anfänger"" Anleitung an, die erklärt wie man ByteFence herunterlädt, installiert und aktiviert!","Посмотрите инструкции для новичков от ByteFence, объясняющие, как скачать, установить и активировать!","Mire nuestra Guía Introductoria de ByteFence para aprender a descargar, instalar y activar el programa.","Veja o nosso guia de introdução ao ByteFence para saber como Descarregar, Instalar e Ativar!","Veja nosso guia de introdução ao ByteFence para saber como Baixar, Instalar e Ativar!","Obejrzyj nasz poradnik dla początkujących ByteFence, wyjaśniający jak pobrać, zainstalować i aktywować program. ","Guarda la nostra guida introduttiva per Scaricare, Installare e Attivare ByteFence!",インストール＆認証,"다운로드, 설치, 활성화 방법에 대한 설명을 포함한 저희의 ByteFence 초보자 가이드를 시청하세요!","Sjekk ut vår ByteFence begynnerdguide som forklarer hvordan du laster ned, installerer og aktiverer!","Kolla in ByteFence nybörjarguide som förklarar hur du laddar ner, installerar och aktiverar!","Se vores ByteFence Beginners Guide, der forklarer, hvordan du downloader, installerer og aktiverer!",
Have a question? Read our comprehensive answers and solve any issues in a matter of minutes.,Have a question? Read our comprehensive answers and solve any issues in a matter of minutes.,Des questions&nbsp;? Lisez nos réponses détaillées et résolvez tout problème en seulement quelques minutes.,Haben Sie eine Frage? Lesen Sie sich unsere umfangreichen Antworten durch und lösen Sie jedes Problem minutenschnell.,"Есть вопрос? Читайте наши подробные ответы, помогающие решить любые вопросы в считанные минуты.","Si tiene alguna duda, consulte las respuestas que hemos preparado para ayudarlo a resolver el problema en cuestión de minutos.",Tem uma questão? Leia as nossas respostas detalhadas e resolva quaisquer problemas em minutos.,Tem uma questão? Leia as nossas respostas detalhadas e resolva quaisquer problemas em minutos.,Masz pytanie? Przeczytaj nasze odpowiedzi i rozwiąż wszystkie kwestie w przeciągu kilku minut. ,Domande? Leggete le nostre risposte complete per risolvere qualsiasi problema in pochi minuti.,ちょっとした問題です。,질문이 있습니까? 저희의 종합 답변을 읽고 바로 모든 문제를 해결하세요.,Har du et spørsmål? Les våre detaljerte svar og løs ethvert problem i løpet av noen minutter.,Har du en fråga? Läs våra utförliga svar och lös ditt problem på bara några minuter.,Har du et spørgsmål? Læs vores omfattende svar og løs eventuelle problemer i løbet af få minutter.,
"Choose a relevant question, click on it and get an instant answer","Choose a relevant question, click on it and get an instant answer","Choisissez une question pertinente, cliquez dessus et obtenez une réponse immédiate.","Wählen Sie eine passende Frage aus, klicken Sie sie an, und bekommen Sie sofort eine Antwort.","Выберите интересующий вопрос, нажмите на него и получите мгновенный ответ",Haga clic en una pregunta para obtener la respuesta,"Selecione uma questão relevante, clique e obtenha uma resposta imediata","Selecione uma questão relevante, clique e obtenha uma resposta imediata","Wybierz właściwe pytanie, kliknij na nie i otrzymaj natychmiastową odpowiedź. ",Cliccate sulle domande rilevanti per ottenere una risposta istantanea,関連する質問を選択し、その質問をクリックすると回答が得られます。,관련 질문을 선택하세요. 클릭 후 바로 해답을 얻으세요,"Velg et relevant spørsmål, klikk på linken og få et svar umiddelbart","Välj en relevant fråga, klicka på den och få ett omedelbart svar","Vælg et relevant spørgsmål, klik på det og få et øjeblikkeligt svar",
Support Hours:,Support Hours:,Heures d'assistance&nbsp;:,Kundendienst-Zeiten:,Часы Поддержки:,Horario de Ayuda:,Horário de Apoio:,Horário de Apoio:,Godziny działania działu wsparcia: ,Orari del supporto:,サポート時間：,지원 시간:,Kundeservicetider:,"Kundservice, öppettider:",Kundeservice Åbningstider:,
"US - 6:00 AM to 5:00 PM Pacific (GMT-7), Monday - Friday","US - 6:00 AM to 5:00 PM Pacific (GMT-7), Monday - Friday","États-Unis - de 6 h 00 à 17 h 00 Heure du pacifique (GMT-7), du Lundi au Vendredi","USA - 6 Uhr bis 17 Uhr Pazifik-Zeitzone (GMT -7), Montag bis Freitag","США - 06:00 до 17:00 по Тихоокеанскому времени (GMT-7), понедельник - пятница","EE. UU. - 6:00 a. m. a 5:00 p. m. Hora del Pacífico (GMT -7), Lunes - Viernes","EUA - 6:00h às 17:00h Pacífico (GMT-7), Segunda - Sexta","EUA - 6:00h às 17:00h Pacífico (GMT-7), Segunda - Sexta","USA - 6.00 - 17.00 (UTC -7), poniedziałek - piątek ","US - dalle 6:00 AM alle 5:00 PM Pacific (GMT-7), Lunedì - Venerdì",アメリカ - 6：00～17：00（GMT -7） / 月～金曜日,"미국 오전 6시 - 오후 5시 태평양 (GMT-7), 월요일 - 금요일","US - 06.00 til 17.00 Pacific (GMT-7), Mandag - Fredag","USA - 6.00–17.00 Stilla havet (UTC -7), måndag–fredag","USA - 6:00 til 5:00 Pacific (GMT-7), mandag - fredag",
"EMEA - 9:00 AM to 7:00 PM (GMT +1),Monday - Friday","EMEA - 9:00 AM to 7:00 PM (GMT +1), Monday - Friday","Zone EMEA - de 9 h 00 à 19 h 00 (GMT +1), du Lundi au Vendredi","EMEA - 9 Uhr bis 19 Uhr (GMT +1), Montag bis Freitag","ЕМЕА - 09:00 до 19:00 (GMT +1), понедельник - пятница","Europa, Oriente Medio y África - 9:00 a. m. a 7:00 p. m. (GMT +1), Lunes - Viernes","EMEA - 9:00h às 19:00h (GMT +1), Segunda - Sexta","EMEA - 9:00h às 19:00h (GMT +1), Segunda - Sexta","EMEA (Europa, Bliski Wschód, Afryka) - 9.00 - 19.00 (UTC +1), poniedziałek - piątek ","EMEA - dalle 9:00 AM alle 7:00 PM (GMT +1), Lunedì - Venerdì",EMEA - 9：00～19：00（GMT +1）/ 月～金曜日,"유럽, 중동, 아프리카 오전 9시 - 오후 7시 (GMT+1), 월요일 - 금요일","EMEA - 09.00 til 19.00 (GMT +1), Mandag - Fredag","EMEA - 9.00–19.00 (UTC +1), måndag–fredag","EMEA - 9:00 til 19:00 (GMT +1), mandag - fredag",
Latin America - 6:00 AM to 5:00 PM (GMT-3),"Latin America - 6:00 AM to 5:00 PM (GMT-3), Monday - Friday","Amérique latine - de 6 h 00 à 17 h 00 (GMT-3), du Lundi au Vendredi","Lateinamerika - 6 Uhr bis 17 Uhr (GMT -3), Montag bis Freitag","Латинская Америка - 06:00 до 17:00 (GMT-3), понедельник - пятница","América Latina - 6:00 a. m. a 5:00 p. m. (GMT -3), Lunes - Viernes",América Latina - 6:00h às 17:00h (GMT-3),América Latina - 6:00h às 17:00h (GMT-3),"Ameryka Południowa - 6.00 - 17.00 (UTC -3), poniedziałek - piątek ",America Latina - dalle 6:00 AM alle 5:00 PM (GMT-3),ラテン アメリカ - 6：00～17：00（GMT -3） / 月～金曜日,"남미 오전 6시 - 오후 5시 태평양 (GMT-3), 월요일 - 금요일","Latin Amerika - 06.00 til 17.00 (GMT-3), Mandag - Fredag","Latinamerika - 6.00–17.00 (UTC -3), måndag–fredag","Latinamerika - 6:00 til 17:00 (GMT-3), mandag - fredag",
Will ByteFence Anti-Malware work with my existing Antivirus software?,Will ByteFence Anti-Malware work with my existing Antivirus software?,,,,,O ByteFence Anti-Malware funcionará com o meu software Antivírus existente?,O ByteFence Anti-Malware funcionará com o meu software Antivírus existente?,,,,,,,,
"Yes! Not only will it,  ByteFence is designed to run side-by-side with all antivirus programs. In fact, it's recommended.","Yes! Not only will it,  ByteFence is designed to run side-by-side with all antivirus programs. In fact, it's recommended.",,,,,"Sim! O ByteFence foi especialmente criado para a execução conjunta com outros programas antivírus. Na verdade, é recomendado.","Sim! O ByteFence foi especialmente criado para a execução conjunta com outros programas antivírus. Na verdade, é recomendado.",,,,,,,,
How do I install ByteFence Anti-Malware?,How do I install ByteFence Anti-Malware?,,,,,Como instalo o ByteFence Anti-Malware?,Como instalo o ByteFence Anti-Malware?,,,,,,,,
"To install, first you will need to download the software on your computer. To do so, click the ""Download"" link at the top of this page. Make sure to pick a location where you can find the setup file after it downloads. Then run the file once the download completes. The installer will take you through a few options that you may want to configure. If you don't understand a particular screen, we recommend just clicking ""Next"" to use the default settings. At the end of the install, just click ""Finish"" and ByteFence Anti-Malware will automatically start.","To install, first you will need to download the software on your computer. To do so, click the ""Download"" link at the top of this page. Make sure to pick a location where you can find the setup file after it downloads. Then run the file once the download completes. The installer will take you through a few options that you may want to configure. If you don't understand a particular screen, we recommend just clicking ""Next"" to use the default settings. At the end of the install, just click ""Finish"" and ByteFence Anti-Malware will automatically start.",,,,,"Para instalar, necessitará de descarregar o software para o seu computador. Para o fazer, clique no link ""Download"" no topo desta página. Certifique-se que seleciona uma localização adequada para encontrar o instalador após o download. Execute o ficheiro assim que terminar a descarga. O instalador irá guiá-lo por algumas opções, que poderá querer configurar. Caso não compreenda uma determinada secção, recomendamos que clique apenas em ""Seguinte"" para utilizar as definições padrão. No final da instalação, basta clicar em ""Terminar"" para iniciar automaticamente o ByteFence Anti-Malware.","Para instalar, necessitará de baixar o software para o seu computador. Para o fazer, clique no link ""Download"" no topo desta página. Certifique-se que seleciona uma localização adequada para encontrar o instalador após o download. Execute o ficheiro assim que terminar o download. O instalador irá guiá-lo por algumas opções, que poderá querer configurar. Caso não compreenda uma determinada secção, recomendamos que clique apenas em ""Seguinte"" para utilizar as definições padrão. No final da instalação, basta clicar em ""Terminar"" para iniciar automaticamente o ByteFence Anti-Malware.",,,,,,,,
How do I activate ByteFence Anti-Malware?,How do I activate ByteFence Anti-Malware?,,,,,Como ativo o ByteFence Anti-Malware?,Como ativo o ByteFence Anti-Malware?,,,,,,,,
"Before starting these steps, make sure you have ByteFence Anti-Malware downloaded and installed. Don't forget to copy the license key that we sent you via e-mail right after your purchase. Now start the program. It is most likely to be located in your Downloads folder if not specified otherwise during the download. Double click on ByteFence icon and the appliaction will launch. Once it started, enter your license key into the ByteFence application. In the top right corner of the application there is an ACTIVATE link, click it and then enter the key in the activation screen. Watch activation <a href=""https://www.youtube.com/watch?v=2jqpHFTyssU"">tutorial here</a>","Before starting these steps, make sure you have ByteFence Anti-Malware downloaded and installed. Don't forget to copy the license key that we sent you via e-mail right after your purchase. Now start the program. It is most likely to be located in your Downloads folder if not specified otherwise during the download. Double click on ByteFence icon and the appliaction will launch. Once it started, enter your license key into the ByteFence application. In the top right corner of the application there is an ACTIVATE link, click it and then enter the key in the activation screen. Watch activation <a href=""https://www.youtube.com/watch?v=2jqpHFTyssU"">tutorial here</a>",,,,,"Antes de iniciar estas etapas, certifique-se de que possui o ByteFence Anti-Malware descarregado e instalado. Não se esqueça de copiar a chave de licença enviada por e-mail após a sua compra. De seguida, execute o programa. A localização mais provável é a pasta de Transferências, caso não tenha especificado outra pasta durante o download. Clique duas vezes no ícone ByteFence para iniciar a aplicação. Após iniciar, introduza a sua chave de licença na aplicação ByteFence. No canto superior direito da aplicação existe o link ATIVAR, clique no link e introduza a chave na janela de ativação. Veja aqui o <a href=""https://www.youtube.com/watch?v=2jqpHFTyssU"">tutorial de ativação</a>","Antes de iniciar estas etapas, certifique-se de que possui o ByteFence Anti-Malware baixado e instalado. Não se esqueça de copiar a chave de licença enviada por e-mail após a sua compra. De seguida, execute o programa. A localização mais provável é a pasta de Transferências, caso não tenha especificado outra pasta durante o download. Clique duas vezes no ícone ByteFence para iniciar a aplicação. Após iniciar, introduza a sua chave de licença na aplicação ByteFence. No canto superior direito da aplicação existe o link ATIVAR, clique no link e introduza a chave na janela de ativação. Veja aqui o <a href=""https://www.youtube.com/watch?v=2jqpHFTyssU"">tutorial de ativação</a>",,,,,,,,
How many computers may I install ByteFence Anti-Malware on?,How many computers may I install ByteFence Anti-Malware on?,,,,,Em quantos computadores posso instalar o ByteFence Anti-Malware?,Em quantos computadores posso instalar o ByteFence Anti-Malware?,,,,,,,,
"If you are a home user you can install the free version of ByteFence on as many computers are you would like. If you have purchased the Pro version of ByteFence Anti-Malware, you can install it on up to 3 computers within your home using the same license. If you are a business and wish to install ByteFence on multiple computers, please contact our sales team for licensing information.","If you are a home user you can install the free version of ByteFence on as many computers are you would like. If you have purchased the Pro version of ByteFence Anti-Malware, you can install it on up to 3 computers within your home using the same license. If you are a business and wish to install ByteFence on multiple computers, please contact our sales team for licensing information.",,,,,"Se for um utilizador doméstico, pode instalar a versão gratuita do ByteFence em todos os computadores que desejar. Caso tenha adquirido a versão Pro do ByteFence Anti-Malware, poderá instalar o software em 3 computadores, utilizando a mesma licença. Se for uma empresa e pretender instalar o ByteFence em vários computadores, por favor contacte o nosso departamento de vendas para obter mais informações acerca do licenciamento.","Se for um usuário doméstico, pode instalar a versão gratuita do ByteFence em todos os computadores que desejar. Caso tenha adquirido a versão Pro do ByteFence Anti-Malware, poderá instalar o software em 3 computadores, utilizando a mesma licença. Se for uma empresa e pretender instalar o ByteFence em vários computadores, por favor contate o nosso departamento de vendas para obter mais informações acerca do licenciamento.",,,,,,,,
How do I activate ByteFence Anti-Malware on more than one computer?,How do I activate ByteFence Anti-Malware on more than one computer?,,,,,Como é que ativo o ByteFence Anti-Malware em mais do que um computador?,Como ativo o ByteFence Anti-Malware em mais do que um computador?,,,,,,,,
"To activate ByteFence Anti-Malware Pro on more than one computer, you will need to download and install the software on these computers using the latest version of ByteFence Anti-Malware. The latest version of ByteFence Anti-Malware may be downloaded at any time from the Download link at the top of this page. Once you've installed ByteFence Anti-Malware, you will need to activate your license to enable the Pro features.","To activate ByteFence Anti-Malware Pro on more than one computer, you will need to download and install the software on these computers using the latest version of ByteFence Anti-Malware. The latest version of ByteFence Anti-Malware may be downloaded at any time from the Download link at the top of this page. Once you've installed ByteFence Anti-Malware, you will need to activate your license to enable the Pro features.",,,,,"Para ativar o ByteFence Anti-Malware Pro em mais do que um computador, necessitará de descarregar e instalar o software nos respetivos computadores, utilizando a versão mais recente do ByteFence Anti-Malware. A última versão do ByteFence Anti-Malware poderá ser descarregada a qualquer momento através do link de Download, presente no topo desta página. Assim que instalar o ByteFence Anti-Malware, necessitará de ativar a sua licença para desbloquear as funcionalidades Pro.","Para ativar o ByteFence Anti-Malware Pro em mais do que um computador, necessitará de baixar e instalar o software nos respetivos computadores, utilizando a versão mais recente do ByteFence Anti-Malware. A última versão do ByteFence Anti-Malware poderá ser baixada a qualquer momento através do link de Download, presente no topo desta página. Assim que instalar o ByteFence Anti-Malware, necessitará de ativar sua licença para desbloquear as funcionalidades Pro.",,,,,,,,
"I have a malicious program on my computer and ByteFence is not picking up on it, what should I do?","I have a malicious program on my computer and ByteFence is not picking up on it, what should I do?",,,,,Tenho um programa malicioso no meu computador e o ByteFence não o deteta. O que devo fazer?,Tenho um programa malicioso em meu computador e o ByteFence não o deteta. O que devo fazer?,,,,,,,,
"If you think ByteFence should be picking up on a certain potentially malicious program, you can report it to the <a class=""open-form-page"">support team</a>","If you think ByteFence should be picking up on a certain potentially malicious program, you can report it to the <a class=""open-form-page"">support team</a>",,,,,"Se considera que o ByteFence deveria detetar um determinado programa potencialmente malicioso, poderá relatar a situação à nossa <a class=""open-form-page"">equipa de apoio</a> ","Se considera que o ByteFence deveria detetar um determinado programa potencialmente malicioso, poderá relatar a situação à nossa <a class=""open-form-page"">equipe de apoio</a> ",,,,,,,,
Can I get a trial version before purchasing?,Can I get a trial version before purchasing?,,,,,Consigo obter uma versão de teste antes de comprar?,Consigo obter uma versão de teste antes de comprar?,,,,,,,,
"You can use ByteFence for free to scan and detect harmful programs. You can also try and remove them from your computer yourself, however, in order to remove them and control the process better you need to pick a plan and purchase a license.","You can use ByteFence for free to scan and detect harmful programs. You can also try and remove them from your computer yourself, however, in order to remove them and control the process better you need to pick a plan and purchase a license.",,,,,"É possível utilizar a versão gratuita do ByteFence para analisar o seu computador e detetar programas nocivos. Também poderá experimentar e remover esses programas manualmente, no entanto, para garantir a remoção total e controlar melhor o processo, necessitará de selecionar um plano e comprar uma licença.","É possível utilizar a versão gratuita do ByteFence para analisar o seu computador e detetar programas nocivos. Também poderá experimentar e remover esses programas manualmente, no entanto, para garantir a remoção total e controlar melhor o processo, necessitará de selecionar um plano e comprar uma licença.",,,,,,,,
How can I pay for this program?,How can I pay for this program?,,,,,Como posso pagar por este programa?,Como posso pagar por este programa?,,,,,,,,
"After choosing a desired plan on the ByteFence website, click on it and you will be automatically redirected to the payment page. You can pay via our secure payment system using your credit card or quickly make a payment through PayPal. <a href=""/buy/plan/index.html"">Choose your plan</a>","After choosing a desired plan on the ByteFence website, click on it and you will be automatically redirected to the payment page. You can pay via our secure payment system using your credit card or quickly make a payment through PayPal. <a href=""/buy/plan/index.html"">Choose your plan</a>",,,,,"Após selecionar o plano desejado no website do ByteFence, clique no plano para ser automaticamente redirecionado para a página de pagamento. Pode pagar através do nosso sistema de pagamento seguro, utilizando o seu cartão de crédito, ou pagar rapidamente via PayPal. <a href=""/buy/plan/index.html"">Selecione o seu plano</a>","Após selecionar o plano desejado no website do ByteFence, clique no plano para ser automaticamente redirecionado até à página de pagamento. Pode pagar através do nosso sistema de pagamento seguro, utilizando o seu cartão de crédito, ou pagar rapidamente via PayPal. <a href=""/buy/plan/index.html"">Selecione o seu plano</a>",,,,,,,,
Where is my license key?,Where is my license key?,,,,,Onde posso encontrar a minha chave de licença?,Onde posso encontrar a minha chave de licença?,,,,,,,,
"A license key is an absolute must to make sure your ByteFence is working properly. The first time you will see it is right after the payment is complete. It appears in bold at the top of the page. To make sure you don't lose it we will also send you a confirmation email with your license key in it, make sure you don't delete it.","A license key is an absolute must to make sure your ByteFence is working properly. The first time you will see it is right after the payment is complete. It appears in bold at the top of the page. To make sure you don't lose it we will also send you a confirmation email with your license key in it, make sure you don't delete it.",,,,,"Uma chave de licença é absolutamente necessária para garantir o funcionamento adequado do seu ByteFence. Terá o primeiro acesso à sua chave imediatamente após a finalização do pagamento. Esta aparece a negrito, no topo da página. Para garantir que não perde a chave, também lhe enviamos um e-mail de confirmação com a sua chave de licença. Não elimine esta mensagem.","Uma chave de licença é absolutamente necessária para garantir o funcionamento adequado do seu ByteFence. Terá o primeiro acesso à sua chave imediatamente após a finalização do pagamento. Esta aparece a negrito, no topo da página. Para garantir que não perde a chave, também lhe enviamos um e-mail de confirmação com a sua chave de licença. Não elimine esta mensagem.",,,,,,,,
Why isn't my license key working?,Why isn't my license key working?,,,,,Porque é que a minha chave de licença não funciona?,Porque é que a minha chave de licença não funciona?,,,,,,,,
"Please make sure that you have copied all digits from the license key. The ByteFence license key consists of NUMBERS ONLY and is in the following format - XXXX-XXXX-XXXX-XXXX. If your key looks different in any way or contains letters, it belongs to some other software and not ByteFence. Double check to avoid confusions. If everything seems right and it is still not working, please contact our <a class=""open-form-page"">support center.</a>","Please make sure that you have copied all digits from the license key. The ByteFence license key consists of NUMBERS ONLY and is in the following format - XXXX-XXXX-XXXX-XXXX. If your key looks different in any way or contains letters, it belongs to some other software and not ByteFence. Double check to avoid confusions. If everything seems right and it is still not working, please contact our <a class=""open-form-page"">support center.</a>",,,,,"Por favor, verifique se copiou todos os dígitos da chave de licença. A chave de licença do ByteFence é composta APENAS POR NÚMEROS e no seguinte formato: XXXX-XXXX-XXXX-XXXX. Se a sua chave não for semelhante ou se contiver quaisquer letras, pertence a outro software e não ao ByteFence. Confirme novamente para evitar confusões. Se estiver tudo correto e mesmo assim não funcionar, por favor contacte o nosso <a class=""open-form-page"">centro de apoio.</a>","Por favor, verifique se copiou todos os dígitos da chave de licença. A chave de licença do ByteFence é composta APENAS POR NÚMEROS e no seguinte formato: XXXX-XXXX-XXXX-XXXX. Se a sua chave não for semelhante ou se contiver quaisquer letras, pertence a outro software e não ao ByteFence. Confirme novamente para evitar confusões. Se estiver tudo certo e mesmo assim não funcionar, por favor contate o nosso <a class=""open-form-page"">centro de apoio.</a>",,,,,,,,
How much does it cost?,How much does it cost?,,,,,Quanto custa?,Quanto custa?,,,,,,,,
"You can see all the available plans here. Make sure to check out our specials offers page where you'll be able to catch great deals and season sales! <a href=""/buy/plan/index.html"">Choose your plan</a>","You can see all the available plans here. Make sure to check out our specials offers page where you'll be able to catch great deals and season sales! <a href=""/buy/plan/index.html"">Choose your plan</a>",,,,,"Pode ver todos os planos disponíveis aqui. Veja a nossa página de ofertas especiais, onde poderá encontrar promoções fantásticas e saldos sazonais! <a href=""/buy/plan/index.html"">Selecione o seu plano</a>","Pode ver todos os planos disponíveis aqui. Veja nossa página de ofertas especiais, onde poderá encontrar promoções fantásticas e saldos sazonais! <a href=""/buy/plan/index.html"">Selecione o seu plano</a>",,,,,,,,
Does it slow down my computer?,Does it slow down my computer?,,,,,Prejudica a velocidade do meu computador?,Prejudica a velocidade do meu computador?,,,,,,,,
"If you find that your computer is working slower than usual, it is probably because of malicious programs or adware installed on it. ByteFence will help you get rid of them and improve your user experience.","If you find that your computer is working slower than usual, it is probably because of malicious programs or adware installed on it. ByteFence will help you get rid of them and improve your user experience.",,,,,"Se verificar que o seu computador se encontra mais lento do que o habitual, é provável que isso de deva à existência de programas maliciosos ou adware instalado. O ByteFence ajuda-o a removê-los e a melhorar a sua experiência como utilizador.","Se verificar que o seu computador se encontra mais lento do que o habitual, é provável que isso de deva à existência de programas maliciosos ou adware instalado. O ByteFence ajuda a removê-los e a melhorar a sua experiência como usuário.",,,,,,,,
How can I uninstall ByteFence?,How can I uninstall ByteFence?,,,,,Como posso desinstalar o ByteFence?,Como posso desinstalar o ByteFence?,,,,,,,,
"Right-click on the Start button in the lower-left corner and select Control Panel ---> Programs ---> Uninstall a Program. Find ByteFence in the list and proceed to uninstall. If it does not work via the control panel, please go to the following file in your Windows Explorer right-click on the Start button in the lower-left corner and select Computer -> OSDisk -> Program Files -> ByteFence In this folder you will find a file called uninstall.exe.  Run it and ByteFence will be uninstalled.","Right-click on the Start button in the lower-left corner and select Control Panel ---> Programs ---> Uninstall a Program. Find ByteFence in the list and proceed to uninstall. If it does not work via the control panel, please go to the following file in your Windows Explorer right-click on the Start button in the lower-left corner and select Computer -> OSDisk -> Program Files -> ByteFence In this folder you will find a file called uninstall.exe.  Run it and ByteFence will be uninstalled.",,,,,"Clique com o botão direito no botão Iniciar, presente no canto inferior esquerdo e selecione o Painel de Controlo --> Programas --> Desinstalar um Programa. Selecione o ByteFence na lista e proceda com a desinstalação. Se não resultar através do Painel de Controlo, por favor aceda ao seguinte ficheiro no seu Windows Explorer: clique com o botão direito no botão Iniciar, presente no canto inferior esquerdo e selecione Computador -> Disco Local -> Programas -> ByteFence. Nesta pasta encontrará um ficheiro designado como uninstall.exe. Execute este ficheiro para remover o ByteFence.","Clique com o botão direito no botão Iniciar, presente no canto inferior esquerdo e selecione o Painel de Controlo --> Programas --> Desinstalar um Programa. Selecione o ByteFence na lista e proceda com a desinstalação. Se não resultar através do Painel de Controlo, por favor aceda ao seguinte ficheiro no seu Windows Explorer: clique com o botão direito no botão Iniciar, presente no canto inferior esquerdo e selecione Computador -> Disco Local -> Programas -> ByteFence. Nesta pasta encontrará um ficheiro designado como uninstall.exe. Execute este ficheiro para remover o ByteFence.",,,,,,,,
Can I try to remove viruses with ByteFence before paying for it?,Can I try to remove viruses with ByteFence before paying for it?,,,,,Posso tentar remover vírus com o ByteFence antes de o comprar?,Posso tentar remover vírus com o ByteFence antes de o comprar?,,,,,,,,
"You can use ByteFence for free to scan and detect harmful programs. You can also try and remove them from your computer yourself, however, in order to to remove them and control the process better, you need to pick a plan and purchase a license.","You can use ByteFence for free to scan and detect harmful programs. You can also try and remove them from your computer yourself, however, in order to to remove them and control the process better, you need to pick a plan and purchase a license.",,,,,"É possível utilizar a versão gratuita do ByteFence para analisar o seu computador e detetar programas nocivos. Também poderá experimentar e remover esses programas manualmente, no entanto, para garantir a remoção total e controlar melhor o processo, necessitará de selecionar um plano e comprar uma licença.","É possível utilizar a versão gratuita do ByteFence para analisar o seu computador e detetar programas nocivos. Também poderá experimentar e remover esses programas manualmente, no entanto, para garantir a remoção total e controlar melhor o processo, necessitará de selecionar um plano e comprar uma licença.",,,,,,,,
"I just bought the program, inserted my license key, but am getting a message that it is invalid or expired. Why do I have to pay again?","I just bought the program, inserted my license key, but am getting a message that it is invalid or expired. Why do I have to pay again?",,,,,"Acabei de comprar o programa, inseri a minha chave de licença, mas recebo uma mensagem que diz que esta é inválida ou expirou. Porque é que sou obrigado a pagar novamente?","Acabei de comprar o programa, inseri a minha chave de licença, mas recebo uma mensagem que diz que esta é inválida ou expirou. Porque sou obrigado a pagar novamente?",,,,,,,,
"If you have already purchased ByteFence and your plan is valid, you absolutely don't have to pay any extra money. Please double check that you have activated it properly. If the problem persits, contact our <a class=""open-form-page"">support center.</a>","If you have already purchased ByteFence and your plan is valid, you absolutely don't have to pay any extra money. Please double check that you have activated it properly. If the problem persits, contact our <a class=""open-form-page"">support center.</a>",,,,,"Caso já tenha comprado o ByteFence e o seu plano for válido, certamente não será obrigado a pagar novamente pelo produto. Por favor, verifique que o ativou corretamente. Se o problema persistir, contacte o nosso <a class=""open-form-page"">centro de apoio.</a>","Caso já tenha comprado o ByteFence e o seu plano for válido, certamente não será obrigado a pagar novamente pelo produto. Por favor, verifique que o ativou corretamente. Se o problema persistir, contate o nosso <a class=""open-form-page"">centro de apoio.</a>",,,,,,,,
Can I legally use ByteFence Anti-Malware in my business?,Can I legally use ByteFence Anti-Malware in my business?,,,,,É possível utilizar o ByteFence Anti-Malware legalmente na minha empresa?,É possível utilizar o ByteFence Anti-Malware legalmente na minha empresa?,,,,,,,,
"Yes, you can use both the free and Pro versions of ByteFence in your business, corporation, government, education or non-profit organization. The free version does not require any additional license of purchase requirements. To use the Pro version, a license is required. Unlike home users however, you can only run the Pro version of ByteFence on a single computer within one of these organizations.","Yes, you can use both the free and Pro versions of ByteFence in your business, corporation, government, education or non-profit organization. The free version does not require any additional license of purchase requirements. To use the Pro version, a license is required. Unlike home users however, you can only run the Pro version of ByteFence on a single computer within one of these organizations.",,,,,"Sim. Pode utilizar a versão gratuita e Pro do ByteFence na sua empresa, sociedade e organizações governamentais, educativas e não lucrativas. A versão gratuita não requer a compra de qualquer licença adicional. Para utilizar a versão Pro necessita de uma licença. Ao contrário dos utilizadores domésticos, apenas poderá utilizar a versão Pro do ByteFence num único computador pertencente a uma determinada organização. ","Sim. Pode utilizar a versão gratuita e Pro do ByteFence na sua empresa, sociedade e organizações governamentais, educativas e não lucrativas. A versão gratuita não requer a compra de qualquer licença adicional. Para utilizar a versão Pro necessita de uma licença. Ao contrário dos usuários domésticos, apenas poderá utilizar a versão Pro do ByteFence num único computador pertencente a uma determinada organização. ",,,,,,,,
